noise_sigma,baseline_test_mae,fusion_test_mae
0.0,0.2051111161344389,0.20229771859016815
0.01,0.20583322157702363,0.20240441030298523
0.05,0.2344417686912125,0.2136648125657245
0.1,0.39040847319923966,0.30137973949108166
