arm,step,mse_eV2,film_gradient_norm
raw,0,44.348121643066406,107.84049987792969
raw,1,29.99646759033203,71.00856018066406
raw,2,14.920835494995117,45.18223571777344
raw,3,6.076190948486328,31.133312225341797
raw,4,7.2174787521362305,45.56468963623047
raw,5,1.6763157844543457,7.888014316558838
raw,6,1.1343581676483154,0.6876339912414551
raw,7,0.9538586139678955,1.5037661790847778
raw,8,1.3507845401763916,0.7924269437789917
raw,9,1.832358956336975,2.1057662963867188
raw,10,1.2928564548492432,0.8633967638015747
raw,11,1.1045066118240356,1.257877230644226
raw,12,1.5912513732910156,1.2032263278961182
raw,13,1.1342847347259521,0.4262801706790924
raw,14,1.6024644374847412,4.6836161613464355
raw,15,1.3437657356262207,0.9454694390296936
raw,16,1.365795373916626,0.6253749132156372
raw,17,1.026149034500122,1.238553524017334
raw,18,1.321115493774414,2.657377004623413
raw,19,0.9345653653144836,2.009869337081909
raw,20,1.1820286512374878,4.138840198516846
raw,21,0.9683372378349304,1.5256932973861694
raw,22,1.2112525701522827,0.23704779148101807
raw,23,0.9425994753837585,0.8457147479057312
raw,24,1.2957472801208496,1.1975423097610474
raw,25,0.9797375798225403,0.8055137395858765
raw,26,0.8281124830245972,0.37199488282203674
raw,27,0.9949012398719788,0.21616865694522858
raw,28,1.055840015411377,0.1514136642217636
raw,29,1.2069272994995117,0.26284873485565186
raw,30,0.987767219543457,1.1452161073684692
raw,31,1.0176438093185425,0.3471802771091461
raw,32,0.9184674620628357,0.43513062596321106
raw,33,1.1445364952087402,0.9789401888847351
raw,34,1.1027708053588867,0.8083314299583435
raw,35,1.3074121475219727,1.5915085077285767
raw,36,0.9669675230979919,0.521547794342041
raw,37,0.7649157047271729,0.24422983825206757
raw,38,1.3746016025543213,1.8974549770355225
raw,39,1.1034626960754395,1.2543256282806396
raw,40,1.156883955001831,0.5509160161018372
raw,41,1.3989757299423218,0.4329409897327423
raw,42,1.255159854888916,3.814270257949829
raw,43,1.1895194053649902,2.067243814468384
raw,44,1.2066349983215332,0.22995179891586304
raw,45,1.230377435684204,1.219561219215393
raw,46,0.7067428231239319,1.3868343830108643
raw,47,0.9721218943595886,0.5953820943832397
raw,48,1.2196598052978516,2.4957492351531982
raw,49,1.2448153495788574,2.390305519104004
raw,50,1.1063473224639893,1.625510334968567
raw,51,1.2010767459869385,3.365985155105591
raw,52,1.0720560550689697,2.942974090576172
raw,53,1.0712244510650635,3.574458122253418
raw,54,0.9563694000244141,1.4152028560638428
raw,55,1.6187165975570679,2.913729429244995
raw,56,1.8095896244049072,3.5445172786712646
raw,57,1.1916580200195312,1.7669514417648315
raw,58,1.2346336841583252,0.3249052166938782
raw,59,1.1337168216705322,2.6239967346191406
raw,60,1.5259238481521606,2.6942386627197266
raw,61,1.5323340892791748,1.748163104057312
raw,62,0.8851522207260132,0.33458030223846436
raw,63,1.1336371898651123,0.2536473274230957
standardized,0,44.581214904785156,4.919955253601074
standardized,1,40.282188415527344,5.566030979156494
standardized,2,29.61389923095703,5.898613929748535
standardized,3,22.52365493774414,8.174595832824707
standardized,4,12.08448600769043,7.322005748748779
standardized,5,18.699556350708008,45.118263244628906
standardized,6,3.5365333557128906,9.062945365905762
standardized,7,2.4138412475585938,3.0490639209747314
standardized,8,2.81624698638916,5.367074489593506
standardized,9,3.4772534370422363,6.036831855773926
standardized,10,2.6292083263397217,6.466932773590088
standardized,11,2.862104892730713,8.240574836730957
standardized,12,3.3698339462280273,9.297473907470703
standardized,13,2.2468104362487793,6.352529525756836
standardized,14,2.670191526412964,8.516243934631348
standardized,15,1.8598504066467285,2.2758381366729736
standardized,16,1.668960690498352,2.9236490726470947
standardized,17,1.2435252666473389,3.3836348056793213
standardized,18,1.3166550397872925,1.4513212442398071
standardized,19,0.6870977282524109,0.6453141570091248
standardized,20,0.8157382607460022,1.6223026514053345
standardized,21,1.569416880607605,4.867319583892822
standardized,22,2.0010933876037598,5.922694206237793
standardized,23,1.4524540901184082,5.553629398345947
standardized,24,1.475172758102417,2.780273675918579
standardized,25,1.7449806928634644,3.398282051086426
standardized,26,1.3333536386489868,2.368276834487915
standardized,27,1.2743685245513916,2.4813339710235596
standardized,28,1.09617280960083,2.5287089347839355
standardized,29,1.2565642595291138,2.840773344039917
standardized,30,1.0804920196533203,2.9830610752105713
standardized,31,1.2347699403762817,3.4385645389556885
standardized,32,0.9829376935958862,2.2068116664886475
standardized,33,0.9019414186477661,1.1724275350570679
standardized,34,1.0606136322021484,1.651042103767395
standardized,35,1.1389309167861938,2.7998945713043213
standardized,36,1.0549037456512451,2.7870476245880127
standardized,37,1.006893515586853,2.8558552265167236
standardized,38,1.2694917917251587,2.7862296104431152
standardized,39,0.9222524166107178,1.2648636102676392
standardized,40,1.182579755783081,2.902851104736328
standardized,41,1.4242912530899048,1.7716721296310425
standardized,42,0.906919002532959,1.5338059663772583
standardized,43,1.1753560304641724,2.1930220127105713
standardized,44,1.0692358016967773,1.7920829057693481
standardized,45,0.8491705060005188,1.449596881866455
standardized,46,0.6954700946807861,1.6428014039993286
standardized,47,1.065965175628662,1.5113728046417236
standardized,48,0.9691506624221802,1.43060302734375
standardized,49,0.9258370399475098,1.3121826648712158
standardized,50,1.0020779371261597,1.8960076570510864
standardized,51,1.057245135307312,3.38813853263855
standardized,52,0.927909791469574,2.2795844078063965
standardized,53,0.6054829359054565,1.2368779182434082
standardized,54,0.7615123391151428,1.5586470365524292
standardized,55,1.3304204940795898,2.199829578399658
standardized,56,1.1170477867126465,1.3699619770050049
standardized,57,0.9348409175872803,0.7697744369506836
standardized,58,0.8790738582611084,1.227381706237793
standardized,59,0.7544668912887573,1.6605232954025269
standardized,60,0.8426498174667358,1.5528868436813354
